Ano;Mês;Nome do Mês;Trimestre;Dia;AnoMesNum;Semestre;Dia da Semana;Data;AnoSemestre;SemanaAno;SemanaMes;Nome do Semestre;Nome do Trimestre;Nome do Mês Abv;Nome da Semana Ano;Nome da Semana Mes;AnoMes
2007;1;Janeiro;1;7;200701;1;Domingo;07/01/2007;200701;2;2;S1;1º TRI;Jan;W2/07;W2;Jan/07
2007;1;Janeiro;1;8;200701;1;Segunda-Feira;08/01/2007;200701;2;2;S1;1º TRI;Jan;W2/07;W2;Jan/07
2007;1;Janeiro;1;9;200701;1;Terça-Feira;09/01/2007;200701;2;2;S1;1º TRI;Jan;W2/07;W2;Jan/07
2007;1;Janeiro;1;10;200701;1;Quarta-Feira;10/01/2007;200701;2;2;S1;1º TRI;Jan;W2/07;W2;Jan/07
2007;1;Janeiro;1;11;200701;1;Quinta-Feira;11/01/2007;200701;2;2;S1;1º TRI;Jan;W2/07;W2;Jan/07
2007;1;Janeiro;1;12;200701;1;Sexta-Feira;12/01/2007;200701;2;2;S1;1º TRI;Jan;W2/07;W2;Jan/07
2007;1;Janeiro;1;13;200701;1;Sábado;13/01/2007;200701;2;2;S1;1º TRI;Jan;W2/07;W2;Jan/07
2007;2;Fevereiro;1;4;200702;1;Domingo;04/02/2007;200701;6;2;S1;1º TRI;Fev;W6/07;W2;Fev/07
2007;2;Fevereiro;1;5;200702;1;Segunda-Feira;05/02/2007;200701;6;2;S1;1º TRI;Fev;W6/07;W2;Fev/07
2007;2;Fevereiro;1;6;200702;1;Terça-Feira;06/02/2007;200701;6;2;S1;1º TRI;Fev;W6/07;W2;Fev/07
2007;2;Fevereiro;1;7;200702;1;Quarta-Feira;07/02/2007;200701;6;2;S1;1º TRI;Fev;W6/07;W2;Fev/07
2007;2;Fevereiro;1;8;200702;1;Quinta-Feira;08/02/2007;200701;6;2;S1;1º TRI;Fev;W6/07;W2;Fev/07
2007;2;Fevereiro;1;9;200702;1;Sexta-Feira;09/02/2007;200701;6;2;S1;1º TRI;Fev;W6/07;W2;Fev/07
2007;2;Fevereiro;1;10;200702;1;Sábado;10/02/2007;200701;6;2;S1;1º TRI;Fev;W6/07;W2;Fev/07
2007;3;Março;1;4;200703;1;Domingo;04/03/2007;200701;10;2;S1;1º TRI;Mar;W10/07;W2;Mar/07
2007;3;Março;1;5;200703;1;Segunda-Feira;05/03/2007;200701;10;2;S1;1º TRI;Mar;W10/07;W2;Mar/07
2007;3;Março;1;6;200703;1;Terça-Feira;06/03/2007;200701;10;2;S1;1º TRI;Mar;W10/07;W2;Mar/07
2007;3;Março;1;7;200703;1;Quarta-Feira;07/03/2007;200701;10;2;S1;1º TRI;Mar;W10/07;W2;Mar/07
2007;3;Março;1;8;200703;1;Quinta-Feira;08/03/2007;200701;10;2;S1;1º TRI;Mar;W10/07;W2;Mar/07
2007;3;Março;1;9;200703;1;Sexta-Feira;09/03/2007;200701;10;2;S1;1º TRI;Mar;W10/07;W2;Mar/07
2007;3;Março;1;10;200703;1;Sábado;10/03/2007;200701;10;2;S1;1º TRI;Mar;W10/07;W2;Mar/07
2007;4;Abril;2;8;200704;1;Domingo;08/04/2007;200701;15;2;S1;2º TRI;Abr;W15/07;W2;Abr/07
2007;4;Abril;2;9;200704;1;Segunda-Feira;09/04/2007;200701;15;2;S1;2º TRI;Abr;W15/07;W2;Abr/07
2007;4;Abril;2;10;200704;1;Terça-Feira;10/04/2007;200701;15;2;S1;2º TRI;Abr;W15/07;W2;Abr/07
2007;4;Abril;2;11;200704;1;Quarta-Feira;11/04/2007;200701;15;2;S1;2º TRI;Abr;W15/07;W2;Abr/07
2007;4;Abril;2;12;200704;1;Quinta-Feira;12/04/2007;200701;15;2;S1;2º TRI;Abr;W15/07;W2;Abr/07
2007;4;Abril;2;13;200704;1;Sexta-Feira;13/04/2007;200701;15;2;S1;2º TRI;Abr;W15/07;W2;Abr/07
2007;4;Abril;2;14;200704;1;Sábado;14/04/2007;200701;15;2;S1;2º TRI;Abr;W15/07;W2;Abr/07
2007;5;Maio;2;6;200705;1;Domingo;06/05/2007;200701;19;2;S1;2º TRI;Mai;W19/07;W2;Mai/07
2007;5;Maio;2;7;200705;1;Segunda-Feira;07/05/2007;200701;19;2;S1;2º TRI;Mai;W19/07;W2;Mai/07
2007;5;Maio;2;8;200705;1;Terça-Feira;08/05/2007;200701;19;2;S1;2º TRI;Mai;W19/07;W2;Mai/07
2007;5;Maio;2;9;200705;1;Quarta-Feira;09/05/2007;200701;19;2;S1;2º TRI;Mai;W19/07;W2;Mai/07
2007;5;Maio;2;10;200705;1;Quinta-Feira;10/05/2007;200701;19;2;S1;2º TRI;Mai;W19/07;W2;Mai/07
2007;5;Maio;2;11;200705;1;Sexta-Feira;11/05/2007;200701;19;2;S1;2º TRI;Mai;W19/07;W2;Mai/07
2007;5;Maio;2;12;200705;1;Sábado;12/05/2007;200701;19;2;S1;2º TRI;Mai;W19/07;W2;Mai/07
2007;6;Junho;2;3;200706;1;Domingo;03/06/2007;200701;23;2;S1;2º TRI;Jun;W23/07;W2;Jun/07
2007;6;Junho;2;4;200706;1;Segunda-Feira;04/06/2007;200701;23;2;S1;2º TRI;Jun;W23/07;W2;Jun/07
2007;6;Junho;2;5;200706;1;Terça-Feira;05/06/2007;200701;23;2;S1;2º TRI;Jun;W23/07;W2;Jun/07
2007;6;Junho;2;6;200706;1;Quarta-Feira;06/06/2007;200701;23;2;S1;2º TRI;Jun;W23/07;W2;Jun/07
2007;6;Junho;2;7;200706;1;Quinta-Feira;07/06/2007;200701;23;2;S1;2º TRI;Jun;W23/07;W2;Jun/07
2007;6;Junho;2;8;200706;1;Sexta-Feira;08/06/2007;200701;23;2;S1;2º TRI;Jun;W23/07;W2;Jun/07
2007;6;Junho;2;9;200706;1;Sábado;09/06/2007;200701;23;2;S1;2º TRI;Jun;W23/07;W2;Jun/07
