IdProduto,NomeProduto,Marca,Classe
842,Contoso Bright Light battery E20 Black,Contoso,Economy
843,Contoso Bright Light battery E20 blue,Contoso,Economy
844,Contoso Bright Light battery E20 Pink,Contoso,Economy
845,Contoso Bright Light battery E20 White,Contoso,Economy
846,Contoso Ultraportable Neoprene Sleeve E30 Black,Contoso,Economy
847,Contoso Ultraportable Neoprene Sleeve E30 Pink,Contoso,Economy
848,Contoso Ultraportable Neoprene Sleeve E30 Yellow,Contoso,Economy
849,Contoso Ultraportable Neoprene Sleeve E30 Green,Contoso,Economy
850,Contoso Laptop Keyboard X105 Black,Contoso,Deluxe
851,Contoso Laptop Keyboard X105 White,Contoso,Deluxe
852,Contoso Laptop Keyboard X105 Brown,Contoso,Deluxe
853,Contoso Laptop Keyboard X105 Silver,Contoso,Deluxe
854,Contoso Multimedia Speakers M25 Brown,Contoso,Regular
855,Contoso Multimedia Speakers M25 Blue,Contoso,Regular
856,Contoso Multimedia Speakers M25 Black,Contoso,Regular
857,Contoso Multimedia Speakers M25 White,Contoso,Regular
858,Contoso Wireless Notebook Optical Mouse M35 Black,Contoso,Regular
859,Contoso Wireless Notebook Optical Mouse M35 White,Contoso,Regular
860,Contoso Wireless Notebook Optical Mouse M35 Blue,Contoso,Regular
861,Contoso Wireless Notebook Optical Mouse M35 Silver,Contoso,Regular
862,Contoso Wireless Notebook Optical Mouse M35 Orange,Contoso,Regular
863,Contoso Optical USB Mouse M45 Black,Contoso,Regular
864,Contoso Optical USB Mouse M45 White,Contoso,Regular
865,Contoso Optical USB Mouse M45 Grey,Contoso,Regular
866,Contoso Wireless Laser Mouse M55 Black,Contoso,Regular
867,Contoso Wireless Laser Mouse M55 White,Contoso,Regular
868,Contoso Wireless Laser Mouse M55 Grey,Contoso,Regular
869,Contoso Wireless Laser Mouse M55 Silver,Contoso,Regular
870,Contoso Wireless Laser Mouse E50 Black,Contoso,Economy
871,Contoso Wireless Laser Mouse E50 White,Contoso,Economy
872,Contoso Wireless Laser Mouse E50 Silver,Contoso,Economy
873,Contoso Wireless Laser Mouse E50 Grey,Contoso,Economy
874,Contoso Wireless Notebook Optical Mouse X205 Black,Contoso,Deluxe
875,Contoso Wireless Notebook Optical Mouse X205 White,Contoso,Deluxe
876,Contoso Wireless Notebook Optical Mouse X205 Blue,Contoso,Deluxe
877,Contoso Wireless Notebook Optical Mouse X205 Silver,Contoso,Deluxe
878,Contoso Wireless Notebook Optical Mouse X205 Orange,Contoso,Deluxe
879,Contoso Optical Wheel OEM PS/2 Mouse E60 Grey,Contoso,Economy
880,Contoso Optical Wheel OEM PS/2 Mouse E60 Black,Contoso,Economy
881,Contoso Optical Wheel OEM PS/2 Mouse E60 White,Contoso,Economy
882,Contoso Optical Wheel OEM PS/2 Mouse E60 Silver,Contoso,Economy
883,Contoso Bluetooth Notebook Mouse X305 Black,Contoso,Deluxe
884,Contoso Bluetooth Notebook Mouse X305 White,Contoso,Deluxe
885,Contoso Bluetooth Notebook Mouse X305 Silver,Contoso,Deluxe
886,Contoso Bluetooth Notebook Mouse X305 Grey,Contoso,Deluxe
887,Contoso Bluetooth Notebook Mouse E70 Black,Contoso,Economy
888,Contoso Bluetooth Notebook Mouse E70 White,Contoso,Economy
889,Contoso Bluetooth Notebook Mouse E70 Silver,Contoso,Economy
890,Contoso Bluetooth Notebook Mouse E70 Grey,Contoso,Economy
745,Contoso Car power adapter M90 Black,Contoso,Regular
746,Contoso Notebook Peripheral Kit M69 Black,Contoso,Regular
749,Contoso Laptop Starter Bundle M200 Black,Contoso,Regular
750,Contoso Education Essentials Bundle M300 Black,Contoso,Regular
753,Contoso Smart Battery M901 Black,Contoso,Regular
756,Contoso USB 2.0 Dock Station docking station M800 Black,Contoso,Regular
757,Contoso Enhanced Capacity Battery M800 Black,Contoso,Regular
