IdVenda,Data,IdLoja,IdProduto,CustoUnitario,PrecoUnitario,QtdVenda,QtdDevolucao,VlrDevolucao,VlrDesconto
29133,02/05/2008,5,848,"R$ 7,95","R$ 15,60",10,0,R$ 0,R$ 0
973276,01/10/2008,5,847,"R$ 7,95","R$ 15,60",10,0,R$ 0,R$ 0
558373,12/05/2008,5,870,"R$ 10,69","R$ 20,96",10,0,R$ 0,R$ 0
754202,07/05/2008,5,1267,"R$ 25,47","R$ 49,96",10,0,R$ 0,R$ 0
248559,07/06/2009,5,886,"R$ 49,70",R$ 150,10,0,R$ 0,R$ 0
689099,08/04/2008,5,831,"R$ 10,15","R$ 19,90",10,0,R$ 0,R$ 0
1043684,26/10/2008,5,1164,"R$ 91,77",R$ 180,10,0,R$ 0,R$ 0
52170,07/04/2008,5,796,"R$ 8,62","R$ 16,90",10,0,R$ 0,R$ 0
73082,05/04/2008,5,46,"R$ 76,45","R$ 149,95",10,0,R$ 0,R$ 0
874686,01/04/2008,5,942,"R$ 21,41","R$ 41,99",10,0,R$ 0,R$ 0
59693,23/06/2009,5,1312,"R$ 94,27",R$ 205,10,0,R$ 0,R$ 0
285955,10/10/2009,5,1431,"R$ 117,73",R$ 256,10,0,R$ 0,R$ 0
292818,27/04/2009,5,1620,"R$ 28,05","R$ 60,99",10,0,R$ 0,R$ 0
306965,08/10/2008,5,2432,"R$ 14,83","R$ 29,09",10,0,R$ 0,R$ 0
386434,29/10/2008,5,190,"R$ 29,01","R$ 56,90",10,0,R$ 0,R$ 0
465791,02/06/2008,5,178,"R$ 33,65",R$ 66,10,0,R$ 0,R$ 0
481222,22/06/2009,5,1616,"R$ 26,21","R$ 56,99",10,0,R$ 0,R$ 0
532696,14/05/2009,5,44,"R$ 106,69",R$ 232,10,0,R$ 0,R$ 0
592359,03/06/2008,5,768,"R$ 9,13","R$ 17,90",10,0,R$ 0,R$ 0
683463,20/10/2009,5,1459,"R$ 117,73",R$ 256,10,0,R$ 0,R$ 0
762961,16/05/2009,5,449,"R$ 160,49",R$ 349,10,0,R$ 0,R$ 0
843620,29/05/2007,5,1854,"R$ 836,45","R$ 1.818,90",10,0,R$ 0,R$ 0
859491,03/05/2009,5,443,"R$ 160,49",R$ 349,10,0,R$ 0,R$ 0
983215,19/05/2008,5,67,"R$ 13,10","R$ 25,69",10,0,R$ 0,R$ 0
12425,11/04/2008,5,924,"R$ 1,01","R$ 1,99",10,0,R$ 0,R$ 0
909237,16/04/2008,5,473,"R$ 30,08",R$ 59,10,0,R$ 0,R$ 0
1029350,17/10/2008,5,75,"R$ 17,45","R$ 37,95",10,0,R$ 0,R$ 0
279791,15/04/2008,5,901,"R$ 22,43",R$ 44,10,0,R$ 0,R$ 0
553004,14/05/2008,5,1218,"R$ 293,39",R$ 638,10,0,R$ 0,R$ 0
664900,24/10/2008,5,1310,"R$ 14,28",R$ 28,10,0,R$ 0,R$ 0
299038,17/06/2008,5,34,"R$ 48,92","R$ 95,95",10,0,R$ 0,R$ 0
662747,12/10/2008,5,930,"R$ 17,33","R$ 33,99",10,0,R$ 0,R$ 0
258824,29/10/2008,5,164,"R$ 527,53","R$ 1.592,20",10,0,R$ 0,R$ 0
129908,25/04/2007,5,1554,"R$ 137,04",R$ 298,10,0,R$ 0,R$ 0
321156,19/05/2007,5,1231,"R$ 496,98",R$ 1.500,10,0,R$ 0,R$ 0
627388,04/06/2007,5,1231,"R$ 496,98",R$ 1.500,10,0,R$ 0,R$ 0
835853,28/06/2008,5,82,"R$ 18,65","R$ 40,55",10,0,R$ 0,R$ 0
746220,24/04/2008,5,1120,"R$ 217,68",R$ 657,10,0,R$ 0,R$ 0
281700,24/04/2009,5,861,"R$ 13,77","R$ 29,95",10,0,R$ 0,R$ 0
855162,21/10/2008,5,906,"R$ 38,74","R$ 75,99",10,0,R$ 0,R$ 0
295717,20/06/2008,5,356,"R$ 210,11","R$ 456,90",10,0,R$ 0,R$ 0
987852,12/05/2008,5,211,"R$ 293,85",R$ 639,10,0,R$ 0,R$ 0
436291,28/10/2009,5,1403,"R$ 21,82","R$ 47,44",10,0,R$ 0,R$ 0
107381,16/10/2007,5,1108,"R$ 208,40",R$ 629,10,0,R$ 0,R$ 0
1001523,10/06/2007,5,1224,"R$ 341,26",R$ 1.030,10,0,R$ 0,R$ 0
608705,14/06/2007,5,736,"R$ 54,26",R$ 118,10,0,R$ 0,R$ 0
739544,03/05/2008,5,23,"R$ 61,62",R$ 134,10,0,R$ 0,R$ 0
179477,22/06/2008,5,271,"R$ 224,87",R$ 489,10,0,R$ 0,R$ 0
884970,08/04/2008,5,284,"R$ 224,87",R$ 489,10,0,R$ 0,R$ 0
169019,30/04/2008,5,1030,"R$ 68,06",R$ 148,10,0,R$ 0,R$ 0
