IdVenda,Data,IdLoja,IdProduto,CustoUnitario,PrecoUnitario,QtdVenda,QtdDevolucao,VlrDevolucao,VlrDesconto,id_data,VlrVenda
29133,02/05/2008,5,848,7.95,15.6,10,0,0.0,0.0,999,156.0
973276,01/10/2008,5,847,7.95,15.6,10,0,0.0,0.0,1021,156.0
558373,12/05/2008,5,870,10.69,20.96,10,0,0.0,0.0,365,209.60000000000002
754202,07/05/2008,5,1267,25.47,49.96,10,0,0.0,0.0,115,499.6
248559,07/06/2009,5,886,49.7,150.0,10,0,0.0,0.0,203,1500.0
689099,08/04/2008,5,831,10.15,19.9,10,0,0.0,0.0,107,199.0
1043684,26/10/2008,5,1164,91.77,180.0,10,0,0.0,0.0,864,1800.0
52170,07/04/2008,5,796,8.62,16.9,10,0,0.0,0.0,106,169.0
73082,05/04/2008,5,46,76.45,149.95,10,0,0.0,0.0,997,1499.5
874686,01/04/2008,5,942,21.41,41.99,10,0,0.0,0.0,993,419.90000000000003
59693,23/06/2009,5,1312,94.27,205.0,10,0,0.0,0.0,709,2050.0
285955,10/10/2009,5,1431,117.73,256.0,10,0,0.0,0.0,237,2560.0
292818,27/04/2009,5,1620,28.05,60.99,10,0,0.0,0.0,892,609.9
306965,08/10/2008,5,2432,14.83,29.09,10,0,0.0,0.0,150,290.9
386434,29/10/2008,5,190,29.01,56.9,10,0,0.0,0.0,867,569.0
465791,02/06/2008,5,178,33.65,66.0,10,0,0.0,0.0,1002,660.0
481222,22/06/2009,5,1616,26.21,56.99,10,0,0.0,0.0,708,569.9
532696,14/05/2009,5,44,106.69,232.0,10,0,0.0,0.0,284,2320.0
592359,03/06/2008,5,768,9.13,17.9,10,0,0.0,0.0,1003,179.0
683463,20/10/2009,5,1459,117.73,256.0,10,0,0.0,0.0,737,2560.0
762961,16/05/2009,5,449,160.49,349.0,10,0,0.0,0.0,286,3490.0
843620,29/05/2007,5,1854,836.45,1818.9,10,0,0.0,0.0,775,18189.0
859491,03/05/2009,5,443,160.49,349.0,10,0,0.0,0.0,196,3490.0
983215,19/05/2008,5,67,13.1,25.69,10,0,0.0,0.0,617,256.90000000000003
12425,11/04/2008,5,924,1.01,1.99,10,0,0.0,0.0,110,19.9
909237,16/04/2008,5,473,30.08,59.0,10,0,0.0,0.0,360,590.0
1029350,17/10/2008,5,75,17.45,37.95,10,0,0.0,0.0,404,379.5
279791,15/04/2008,5,901,22.43,44.0,10,0,0.0,0.0,359,440.0
553004,14/05/2008,5,1218,293.39,638.0,10,0,0.0,0.0,367,6380.0
664900,24/10/2008,5,1310,14.28,28.0,10,0,0.0,0.0,656,280.0
299038,17/06/2008,5,34,48.92,95.95,10,0,0.0,0.0,373,959.5
662747,12/10/2008,5,930,17.33,33.99,10,0,0.0,0.0,399,339.90000000000003
258824,29/10/2008,5,164,527.53,1592.2,10,0,0.0,0.0,867,15922.0
129908,25/04/2007,5,1554,137.04,298.0,10,0,0.0,0.0,528,2980.0
321156,19/05/2007,5,1231,496.98,1500.0,10,0,0.0,0.0,454,15000.0
627388,04/06/2007,5,1231,496.98,1500.0,10,0,0.0,0.0,36,15000.0
835853,28/06/2008,5,82,18.65,40.55,10,0,0.0,0.0,629,405.5
746220,24/04/2008,5,1120,217.68,657.0,10,0,0.0,0.0,613,6570.0
281700,24/04/2009,5,861,13.77,29.95,10,0,0.0,0.0,698,299.5
855162,21/10/2008,5,906,38.74,75.99,10,0,0.0,0.0,653,759.9
295717,20/06/2008,5,356,210.11,456.9,10,0,0.0,0.0,376,4569.0
987852,12/05/2008,5,211,293.85,639.0,10,0,0.0,0.0,365,6390.0
436291,28/10/2009,5,1403,21.82,47.44,10,0,0.0,0.0,926,474.4
107381,16/10/2007,5,1108,208.4,629.0,10,0,0.0,0.0,485,6290.0
